,pos_X,pos_Y
0,1797,426
1,1830,429
2,1859,432
3,1859,432
4,1886,434
5,1886,434
6,1919,437
7,1919,437
8,1919,437
9,1919,437
10,1919,437
11,1919,435
12,1919,432
13,1919,430
14,1859,428
15,1774,426
16,1693,424
17,1610,422
18,1496,418
19,1403,415
20,1300,411
21,1325,413
22,1350,415
23,1350,415
24,1350,415
25,1350,415
26,1350,415
27,1330,414
28,1310,413
29,1310,413
30,1291,412
31,1291,412
32,1291,412
33,1291,412
34,1291,412
35,1271,411
36,1252,410
37,1232,409
38,1231,410
39,1212,432
40,1157,467
41,1093,493
42,1074,492
43,1074,492
44,1074,492
45,1046,490
46,1035,500
47,1035,500
48,1018,498
49,1018,498
50,1018,498
51,1026,492
52,1134,419
53,1309,334
54,1490,263
55,1652,217
56,1694,204
57,1695,202
58,1686,200
59,1677,199
60,1670,198
61,1660,197
62,1660,197
63,1649,196
64,1633,190
65,1618,187
66,1602,184
67,1574,179
68,1538,174
69,1502,168
70,1475,162
71,1457,160
72,1450,161
73,1394,159
74,1292,168
75,1193,183
76,995,256
77,730,405
78,444,564
79,241,685
80,241,689
81,241,689
82,241,689
83,241,689
84,241,689
85,241,689
86,241,689
87,248,685
88,248,685
89,248,685
90,248,685
91,248,685
92,248,685
93,248,685
94,248,685
95,248,685
96,248,685
97,248,685
98,248,685
99,248,685
100,248,685
101,248,685
102,248,685
103,248,685
104,248,685
105,248,685
106,248,685
107,248,685
108,248,685
109,248,685
110,248,685
111,248,685
112,248,685
113,248,685
114,248,685
115,248,685
116,248,685
117,248,685
118,248,685
119,248,685
120,248,685
121,248,685
122,248,685
123,248,685
124,248,685
125,248,685
126,248,685
127,248,685
128,248,685
129,248,685
130,248,685
131,248,685
132,248,685
133,248,685
134,248,685
135,248,685
136,248,685
137,248,685
138,248,685
139,248,685
140,248,685
141,248,685
142,248,685
143,248,685
144,248,685
145,248,685
146,248,685
147,248,685
148,248,685
149,248,685
150,248,685
151,248,685
152,248,685
153,248,685
154,248,685
155,248,685
156,248,685
157,248,685
158,248,685
159,248,685
160,248,685
161,248,685
162,248,685
163,248,685
164,240,683
165,228,682
166,212,681
167,212,681
168,212,681
169,190,678
170,169,675
171,151,672
172,135,670
173,123,668
174,123,668
175,123,668
176,123,668
177,123,668
178,123,668
179,123,668
180,112,666
181,96,665
182,78,664
183,78,664
184,67,662
185,57,661
186,47,660
187,40,657
188,40,657
189,40,657
190,40,657
191,40,657
192,40,657
193,40,657
194,40,657
195,40,657
196,40,657
197,40,657
198,40,657
199,40,657
200,40,657
201,40,657
202,40,657
203,40,657
204,40,657
205,40,657
206,40,657
207,40,657
208,40,657
209,40,657
210,40,657
211,40,657
212,40,657
213,40,657
214,40,657
215,40,657
216,40,657
217,40,657
218,40,657
219,40,657
220,40,657
221,40,657
222,40,657
223,61,661
224,82,667
225,103,673
226,125,679
227,146,684
228,160,687
229,171,690
230,171,690
231,171,690
232,154,686
233,140,682
234,125,679
235,109,676
236,92,671
237,75,666
238,57,662
239,41,656
240,29,651
241,18,649
242,8,648
243,0,646
244,0,646
245,0,646
246,0,646
247,0,654
248,0,660
249,0,665
250,0,670
251,0,677
252,0,682
253,0,688
254,0,696
255,0,707
256,0,714
257,0,720
258,0,735
259,0,752
260,0,768
261,0,782
262,0,796
263,0,805
264,0,815
265,0,825
266,0,838
267,0,854
268,0,866
269,0,866
270,0,880
271,0,894
272,0,909
273,0,928
274,0,942
275,43,952
276,99,959
277,153,963
278,210,967
279,283,979
280,190,981
281,97,983
282,0,986
283,0,1001
284,9,1014
285,62,1019
286,114,1022
287,164,1025
288,164,1025
289,72,1027
290,93,1026
291,0,1028
292,0,1044
293,0,1059
294,0,1066
295,20,1074
296,88,1076
297,0,1079
298,0,1079
299,0,1073
300,0,1066
301,0,1059
302,0,1065
303,49,1070
304,142,1077
305,240,1079
306,271,1079
307,224,1079
308,185,1079
309,154,1079
310,138,1079
311,127,1079
312,120,1079
313,90,1079
314,86,1079
315,81,1079
316,71,1079
317,62,1079
318,57,1077
319,59,1069
320,30,1063
321,0,1060
322,0,1063
323,0,1066
324,0,1062
325,16,1079
326,54,1079
327,67,1079
328,72,1079
329,72,1079
330,82,1075
331,108,1072
332,135,1069
333,155,1073
334,175,1079
335,203,1079
336,208,1079
337,171,1079
338,130,1079
339,86,1079
340,98,1078
341,109,1070
342,124,1073
343,146,1075
344,173,1079
345,169,1079
346,148,1079
347,137,1079
348,137,1079
349,133,1079
350,139,1079
351,148,1079
352,158,1079
353,171,1079
354,150,1079
355,140,1079
356,119,1079
357,98,1079
358,75,1079
359,45,1079
360,14,1079
361,7,1079
362,5,1079
363,29,1079
364,14,1079
365,6,1079
366,16,1079
367,26,1079
368,12,1079
369,0,1079
370,0,1079
371,0,1079
