,pos_X,pos_Y
0,1607,262
1,1604,265
2,1601,268
3,1598,271
4,1595,273
5,1592,274
6,1589,275
7,1589,275
8,1589,275
9,1589,275
10,1589,275
11,1586,275
12,1583,275
13,1580,275
14,1577,275
15,1574,275
16,1571,275
17,1568,275
18,1565,275
19,1562,275
20,1559,275
21,1556,275
22,1553,275
23,1550,275
24,1547,275
25,1544,275
26,1542,274
27,1540,273
28,1537,273
29,1537,272
30,1554,268
31,1669,257
32,1972,222
33,2205,206
34,2276,206
35,2296,210
36,2293,211
37,2290,212
38,2287,213
39,2284,214
40,2281,215
41,2281,215
42,2281,215
43,2281,215
44,2281,215
45,2281,215
46,2283,216
47,2299,218
48,2297,217
49,2294,217
50,2291,217
51,2291,217
52,2291,217
53,2291,217
54,2288,217
55,2285,217
56,2282,217
57,2282,217
58,2282,217
59,2282,217
60,2279,218
61,2279,218
62,2279,218
