,pos_X,pos_Y
0,630,279
1,631,279
2,632,279
3,633,279
4,634,279
5,635,279
6,636,279
7,637,279
8,638,279
9,639,279
10,640,279
11,641,279
12,642,279
13,643,279
14,644,279
15,645,279
16,646,279
17,647,279
18,648,279
19,649,279
20,650,279
21,651,279
22,652,279
23,653,279
24,654,279
25,655,279
26,656,279
27,657,279
28,658,279
29,659,279
30,660,279
31,661,279
32,662,279
33,663,279
34,664,279
35,665,279
36,666,279
37,667,279
38,668,279
39,669,279
40,670,279
41,671,279
42,672,279
43,673,279
44,674,279
45,675,279
46,676,279
47,677,279
48,678,279
49,679,279
50,680,279
51,681,279
52,682,279
53,683,279
54,684,279
55,685,279
56,686,279
57,687,279
58,688,279
59,689,279
60,690,279
61,691,279
62,692,279
63,693,279
64,694,279
65,695,279
66,696,279
67,697,279
68,698,279
69,699,279
70,700,279
71,701,279
72,702,279
73,703,279
74,704,279
75,705,279
76,706,279
77,707,279
78,708,279
79,709,279
80,710,279
81,711,279
82,712,279
83,713,279
84,714,279
85,715,279
86,716,279
87,717,279
88,718,279
89,719,279
90,720,279
91,721,279
92,722,279
93,723,279
94,724,279
95,725,279
96,726,279
97,727,279
98,728,279
99,729,279
100,730,279
101,731,279
102,732,279
103,733,279
104,734,279
105,735,279
106,736,279
107,737,279
108,738,279
109,739,279
110,740,279
111,741,279
112,742,279
113,743,279
114,744,279
115,745,279
116,746,279
117,747,279
118,748,279
119,749,279
120,750,279
121,751,279
122,752,279
123,753,279
124,754,279
125,755,279
126,756,279
127,757,279
128,758,279
129,759,279
130,760,279
131,761,279
132,762,279
133,763,279
134,764,279
135,765,279
136,766,279
137,767,279
138,768,279
139,769,279
140,770,279
141,771,279
142,772,279
143,773,279
144,774,279
145,775,279
146,776,279
147,777,279
148,778,279
149,779,279
150,780,279
151,781,279
152,782,279
153,783,279
154,784,279
155,785,279
156,786,279
157,787,279
158,788,279
159,789,279
160,790,279
161,791,279
162,792,279
163,793,279
164,794,279
165,795,279
166,796,279
167,797,279
168,798,279
169,799,279
170,800,279
171,801,279
172,802,279
173,803,279
174,804,279
175,805,279
176,806,279
177,807,279
178,808,279
179,809,279
180,810,279
181,811,279
182,812,279
183,813,279
184,814,279
185,815,279
186,816,279
187,817,279
188,818,279
189,819,279
190,820,279
191,821,279
192,822,279
193,823,279
194,824,279
195,825,279
196,826,279
197,827,279
198,828,279
199,829,279
200,830,279
201,831,279
202,832,279
203,833,279
204,834,279
205,835,279
206,836,279
207,837,279
208,838,279
209,839,279
210,840,279
211,841,279
212,842,279
213,843,279
214,844,279
215,845,279
216,846,279
217,847,279
218,848,279
219,849,279
220,850,279
221,851,279
222,852,279
223,853,279
224,854,279
225,855,279
226,856,279
227,857,279
228,858,279
229,859,279
230,860,279
231,861,279
232,862,279
233,863,279
234,864,279
235,865,279
236,866,279
237,867,279
238,868,279
239,869,279
240,870,279
241,871,279
242,872,279
243,873,279
244,874,279
245,875,279
246,876,279
247,877,279
248,878,279
249,879,279
250,880,279
251,881,279
252,882,279
253,883,279
254,884,279
255,885,279
256,886,279
257,887,279
258,888,279
259,889,279
260,890,279
261,891,279
262,892,279
263,893,279
264,894,279
265,895,279
266,896,279
267,897,279
268,898,279
269,899,279
270,900,279
271,901,279
272,902,279
273,903,279
274,904,279
